범죄대분류,범죄중분류,계,자영업(소계),자영업(농.임.수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도.소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),자영업(기타사업),피고용자(소계),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(소계),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(소계),기타(학생),기타(주부),기타(전경.의경),기타(공익요원),기타(기타),무직자,미상
지능범죄,증수뢰,788,248,20,1,17,41,8,3,2,1,0,9,4,0,1,1,0,140,157,3,5,3,1,0,5,3,0,13,94,3,0,0,5,22,37,3,0,1,2,6,0,25,204,60,0,2,0,0,58,66,16
지능범죄,통화,220,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,18,0,0,0,1,0,4,0,0,0,4,0,1,0,0,8,3,0,0,0,1,0,1,1,0,41,29,1,0,0,11,103,42
지능범죄,문서?인장,18024,4017,397,2,66,635,80,35,121,14,35,25,215,14,28,12,0,2338,4024,28,97,52,57,40,140,31,55,7,1798,61,47,98,458,1055,812,94,49,32,134,11,28,464,472,3842,1661,420,1,10,1750,3474,1383
지능범죄,유가증권인지,373,141,4,0,8,34,0,4,0,1,0,0,5,0,0,0,0,85,61,0,0,1,1,1,0,2,0,0,33,0,0,1,2,20,9,0,0,0,2,0,0,7,1,46,0,6,0,1,39,75,40
지능범죄,사기,223210,49767,2846,50,1363,9492,1077,588,1266,212,597,230,2272,112,237,200,18,29207,55378,64,399,1192,546,296,2766,324,893,26,21652,139,597,1856,9231,15397,6536,631,118,82,766,94,400,4445,396,32900,7731,4434,4,350,20381,55862,22371
지능범죄,횡령,35583,7860,679,9,312,1011,169,71,193,36,60,33,283,36,49,42,2,4875,10187,18,113,191,104,58,1219,174,127,10,3902,60,57,229,1293,2632,1159,69,35,38,177,18,70,752,180,5673,1652,719,4,29,3269,7851,2673
지능범죄,배임,7608,2139,218,0,94,276,31,16,25,9,10,30,121,5,5,3,1,1295,1954,13,27,10,8,6,189,19,18,19,1109,64,5,24,78,365,326,14,29,29,58,5,9,182,129,1092,22,177,0,1,892,1301,667
풍속범죄,성풍속범죄,11207,1010,54,0,22,59,15,14,38,11,38,2,27,6,19,7,0,698,3973,5,14,85,37,47,181,86,33,4,2246,10,31,107,350,737,327,13,0,5,13,4,48,244,94,2757,2064,20,2,52,619,2480,566
풍속범죄,도박범죄,33942,8422,1183,5,136,652,107,24,367,42,166,11,223,14,52,38,1,5401,12754,9,38,335,45,96,1910,104,144,5,5405,13,86,306,1590,2668,526,19,0,0,18,7,25,457,113,3583,740,1094,0,43,1706,7292,1252
특별경제범죄,특별경제범죄,77669,19385,925,2,595,1356,820,100,548,69,807,371,390,39,99,290,7,12967,22854,70,146,627,163,153,1776,250,267,25,9666,122,177,591,3758,5063,2483,163,22,74,277,48,210,1689,425,9730,1959,1672,3,74,6022,17037,5755
마약범죄,마약범죄,8443,1673,540,0,15,99,16,13,36,7,62,4,44,14,3,28,1,791,1845,1,8,53,5,150,132,12,21,0,564,3,73,47,400,376,418,105,0,2,26,1,53,231,7,565,102,143,0,6,314,3272,663
보건범죄,보건범죄,21649,9720,426,0,176,32,404,41,1311,262,627,3,12,227,1,263,3,5932,3476,2,63,42,66,2,67,8,100,0,1142,1,291,146,91,1455,3445,1701,3,7,42,1,38,1653,21,2908,82,302,0,1,2523,1718,361
환경범죄,환경범죄,3802,2037,252,10,301,280,30,4,6,10,39,1,4,1,18,3,0,1078,1115,1,0,16,0,0,44,3,0,1,630,1,44,5,42,328,44,12,0,0,4,4,2,22,12,356,12,17,0,1,326,208,30
교통범죄,교통범죄,555352,103663,20865,28,1778,8568,1421,285,3308,174,364,284,1771,168,668,701,48,63232,299150,697,945,4605,432,889,54083,1590,2408,103,159328,641,229,3389,25713,44098,19710,1089,96,331,1336,222,964,15672,5380,60076,15159,18113,25,386,26393,57990,9383
노동범죄,노동범죄,5860,1084,51,0,52,136,12,1,27,2,79,0,6,8,8,3,0,699,2382,1,20,38,10,14,100,24,32,0,1161,1,79,67,291,544,211,7,0,1,7,4,3,189,3,902,14,255,0,1,632,1155,123
안보범죄,안보범죄,151,17,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,8,47,0,0,0,0,0,3,0,2,0,14,0,1,0,7,20,2,0,0,0,0,1,0,1,2,24,4,1,0,0,19,35,24
선거범죄,선거범죄,1525,370,96,0,10,25,4,0,10,0,1,2,11,1,0,3,0,207,259,1,4,3,0,16,10,7,2,0,117,4,0,2,25,68,202,8,18,9,12,69,9,77,119,297,11,45,1,0,240,241,37
병역범죄,병역범죄,15659,1637,56,1,47,137,43,9,127,6,95,5,19,3,21,7,2,1059,7279,3,31,123,134,53,91,26,90,1,3082,6,111,293,893,2342,492,31,5,4,5,6,79,362,3,2019,356,37,0,183,1443,3432,797
기타범죄,기타범죄,310870,91140,9648,24,1707,8146,1763,369,3120,841,5512,223,2243,173,632,759,45,55935,95940,318,548,2105,829,575,7009,617,1082,78,42165,234,2589,1800,9396,26595,11312,1527,135,282,1268,449,686,6965,1811,44716,10935,6772,16,293,26700,52302,13649
