범죄자 직업,,,,,,,,,,,,,,,,,,,,범죄자 직업,,,,,,,,,,,,,,,,,,범죄자 직업,,,,,,,,,,,,,,,,,,
Ⅳ-1-3,,,,,,,,,,,,,,,,,,,,Ⅳ-1-3,,,,,,,,,,,,,,,,,,Ⅳ-1-3,,,,,,,,,,,,,,,,,,
구분,,계,자영업,,,,,,,,,,,,,,,,,구분,,피고용자,,,,,,,,,,,,,,,,구분,,전문직,,,,,,,,공무원,기타,,,,,,무직자,미상
,,,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,,,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,,,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,,소계,학생,주부,전경.의경,공익요원,기타,,
지능범죄,직무유기,823,23,3,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,,직무유기,46,5,1,0,0,0,0,1,0,12,21,1,0,0,0,5,,직무유기,10,2,2,0,0,0,0,6,678,27,0,2,0,0,25,15,24
지능범죄,직권남용,409,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,직권남용,12,1,0,0,0,0,1,0,0,6,4,0,0,0,0,0,,직권남용,9,0,0,4,1,0,2,2,343,16,2,1,0,0,13,8,13
지능범죄,증수뢰,832,248,26,0,8,44,5,8,4,7,5,5,6,1,1,0,0,128,,증수뢰,190,2,1,3,0,0,7,2,0,16,113,26,2,2,6,10,,증수뢰,22,1,0,1,5,3,0,12,228,51,0,4,0,0,47,83,10
지능범죄,통화,163,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,,통화,32,0,0,0,0,1,3,0,0,0,9,0,0,0,1,18,,통화,0,0,0,0,0,0,0,0,0,37,23,2,0,2,10,69,16
지능범죄,문서인장,19479,4189,443,0,119,561,162,32,138,27,56,29,225,14,10,14,9,2350,,문서인장,4001,21,55,22,36,99,190,29,83,16,1693,93,18,109,455,1082,,문서인장,696,162,43,16,112,3,17,343,436,4394,2184,621,0,10,1579,3654,2109
지능범죄,유가증권인지,633,219,6,2,17,37,10,3,3,1,2,4,5,0,0,1,0,128,,유가증권인지,62,0,0,0,0,0,0,0,4,0,38,1,0,1,9,9,,유가증권인지,12,0,2,0,5,0,0,5,4,76,2,7,0,0,67,165,95
지능범죄,사기,220887,49827,3250,42,1566,8061,2072,553,1625,235,921,157,2417,121,295,197,45,28270,,사기,51934,71,468,488,477,325,3456,273,1084,32,19308,178,628,1387,9485,14274,,사기,4458,672,116,118,749,74,240,2489,479,29464,4431,5440,7,257,19329,49091,35634
지능범죄,횡령,29507,7403,674,8,295,934,326,84,205,35,83,41,262,11,38,22,1,4384,,횡령,7362,28,106,75,80,27,1222,61,144,17,2621,90,50,148,920,1773,,횡령,738,76,32,41,168,23,46,352,168,4926,1536,721,5,22,2642,5568,3342
지능범죄,배임,7510,2165,211,1,94,279,64,28,50,12,12,38,102,7,8,1,1,1257,,배임,1517,24,33,9,4,5,86,14,13,25,751,128,2,12,60,351,,배임,317,25,25,26,67,22,8,144,94,1023,12,197,0,0,814,1239,1155
풍속범죄,소계,50905,13113,1851,14,228,594,596,35,835,146,546,18,263,8,81,110,18,7770,풍속범죄,소계,17668,14,64,134,109,237,3629,102,168,13,5754,20,204,408,3211,3601,풍속범죄,소계,698,39,3,14,50,8,53,531,225,7853,2535,1775,2,76,3465,10164,1184
풍속범죄,성풍속범죄,16321,2735,100,0,49,79,119,10,85,73,136,11,34,2,12,20,3,2002,,성풍속범죄,5237,8,38,38,63,48,212,29,68,9,2956,11,59,117,478,1103,,성풍속범죄,373,25,3,12,23,2,40,268,111,3881,2293,290,1,69,1228,3326,658
풍속범죄,도박범죄,34584,10378,1751,14,179,515,477,25,750,73,410,7,229,6,69,90,15,5768,,도박범죄,12431,6,26,96,46,189,3417,73,100,4,2798,9,145,291,2733,2498,,도박범죄,325,14,0,2,27,6,13,263,114,3972,242,1485,1,7,2237,6838,526
특별경제범죄,,93427,24881,1196,5,1038,1288,1632,130,937,116,2085,347,354,31,104,434,36,15148,특별경제범죄,,28158,48,206,215,233,248,2210,259,381,72,11371,158,533,642,4821,6761,특별경제범죄,,2178,169,13,94,291,76,120,1415,238,13640,2687,2737,3,113,8100,17433,6899
마약범죄,,4731,984,242,0,11,55,61,10,51,9,57,2,28,5,1,28,2,422,마약범죄,,1036,3,3,9,8,36,93,5,20,0,288,2,69,22,195,283,마약범죄,,210,76,0,4,8,1,14,107,2,376,63,88,0,9,216,1951,172
보건범죄,,19531,8832,246,0,88,12,496,9,1911,132,1426,0,12,341,0,281,8,3870,보건범죄,,3551,1,23,8,51,2,42,2,62,4,454,2,708,321,79,1792,보건범죄,,2983,1195,1,4,40,0,10,1733,8,2432,99,304,0,0,2029,1551,174
환경범죄,,3195,1844,382,3,300,163,25,4,14,5,51,2,6,1,8,3,0,877,환경범죄,,944,0,2,11,0,0,62,0,2,2,440,1,33,2,64,325,환경범죄,,36,3,0,0,5,0,1,27,22,176,0,26,0,0,150,148,25
교통범죄,,512076,89464,19311,18,1917,5167,4452,254,4494,223,666,463,1202,232,913,858,159,49135,교통범죄,,296658,658,944,1565,712,1012,58483,1049,1150,178,157164,712,447,3217,28575,40792,교통범죄,,15325,1075,73,390,1250,154,613,11770,4484,51706,18678,16603,26,412,15987,50477,3962
노동범죄,,2378,792,70,0,28,23,8,0,13,0,62,1,4,0,1,7,0,575,노동범죄,,753,1,5,11,1,4,18,3,2,0,159,0,71,3,181,294,노동범죄,,27,2,0,1,0,1,1,22,0,381,4,59,0,1,317,383,42
안보범죄,,126,18,1,0,0,2,0,2,1,0,0,0,1,0,1,0,0,10,안보범죄,,33,0,0,0,1,0,2,0,1,0,15,0,2,0,9,3,안보범죄,,7,1,1,0,2,2,0,1,7,12,4,0,0,1,7,49,0
선거범죄,,1855,397,79,0,6,32,25,4,20,2,0,1,8,1,2,1,1,215,선거범죄,,275,3,9,2,1,3,21,0,8,3,118,2,0,3,31,71,선거범죄,,207,8,10,18,19,69,9,74,135,470,51,106,0,1,312,320,51
병역범죄,,18359,1609,62,0,39,63,115,5,120,13,211,7,18,3,23,16,3,911,병역범죄,,7932,2,52,68,154,58,150,17,141,0,3643,16,162,221,846,2402,병역범죄,,376,25,0,1,7,7,55,281,10,2515,558,43,4,269,1641,3861,2056
기타,,208491,69071,8898,15,1660,3407,3265,291,4247,1301,6069,171,1445,94,739,570,74,36825,기타,,58027,177,361,503,554,394,5976,431,673,99,19571,210,3240,1486,6956,17396,기타,,6807,1275,91,236,1079,346,251,3529,1320,31809,8620,5247,10,226,17706,33950,7507
